Name,Phone,Address,Website,HasWebsite,PitchNote,Rating,Reviews,City
"DTLA Smile","(213) 688-2828","104 W 7th St #2, Los Angeles, CA 90014","","No","No website found — strong opening: offer to build one.","4.8","160","Los Angeles"
"The Melrose Dentist","(323) 665-8168","4852 Melrose Ave, Los Angeles, CA 90029","http://www.themelrosedentist.com/","Yes","Website exists but: no online booking, no chat/AI assistant, no SSL.","4.7","312","Los Angeles"
"River Dentistry","(213) 486-0006","Westin Bonaventure Hotel, 404 S Figueroa St Suite 207, Los Angeles, CA 90071","https://riverdentistry.com/","Yes","Website exists but: not mobile-responsive, no online booking, no chat/AI assistant.","4.8","141","Los Angeles"
"Smile Recreation Dentistry by Dr. Baseri","(323) 218-8098","6221 Wilshire Blvd #517, Los Angeles, CA 90048","https://www.smilerecreation.com/?utm_source=GMB&utm_medium=seo&utm_campaign=GBP","Yes","Website exists but: no chat/AI assistant.","4.7","367","Los Angeles"
"Healing Dental Care","(213) 738-7077","680 Wilshire Pl #411, Los Angeles, CA 90005","https://www.healingdentalcarela.com/","Yes","Website looks solid — pitch on speed/animations/AI receptionist instead.","4.9","379","Los Angeles"
"Playa District Dental","(310) 777-1373","6801 Park Terrace Unit 330, Los Angeles, CA 90045","https://www.playadistrictdental.com/","Yes","Website exists but: no chat/AI assistant.","5","605","Los Angeles"
"Larchmont Dental Associates","(323) 465-2127","581 N Larchmont Blvd, Los Angeles, CA 90004","http://www.larchmontdentists.com/","Yes","Website exists but: no SSL.","5","579","Los Angeles"
"Restore Dental","(310) 858-7373","2002 S Hoover St, Los Angeles, CA 90007","https://www.restoredentalcenters.com/","Yes","Website exists but: no chat/AI assistant.","4.7","653","Los Angeles"
"Samaritan Dental Arts","(213) 986-2933","1127 Wilshire Blvd #914, Los Angeles, CA 90017","https://www.samaritandentalarts.com/?utm_source=gmb","Yes","Website exists but: no chat/AI assistant.","4.9","191","Los Angeles"
"1800 Emergency Dentist Los Angeles 24 Hour","(323) 916-2650","1250 Westwood Blvd, Los Angeles, CA 90024","https://1800dentist.com/emergency-dentist-los-angeles-ca-512/","Yes","Website exists but: no online booking, no chat/AI assistant.","5","5","Los Angeles"
"Downtown Dental - Loop","(773) 692-5401","25 E Washington St Ste 1921, Chicago, IL 60602","https://www.downtown-dental.com/locations/loop/?utm_source=GMBlisting&utm_medium=organic","Yes","Website exists but: not mobile-responsive, no online booking, no chat/AI assistant.","4.7","1381","Chicago"
"DentArt Chicago","(312) 929-4783","2016 S Michigan Ave, Chicago, IL 60616","https://www.dentartchicago.com/","Yes","Website exists but: no online booking, no chat/AI assistant.","4.9","646","Chicago"
"Dental Group of Chicago Family & Emergency Dentistry","(872) 328-4304","1556 S Michigan Ave #200, Chicago, IL 60605","https://dentalgroupofchicago.com/?utm_campaign=gmb&utm_medium=local&utm_source=google","Yes","Website looks solid — pitch on speed/animations/AI receptionist instead.","4.7","837","Chicago"
"Shoreline Dental Chicago","(312) 266-9487","737 N Michigan Ave Ste 910, Chicago, IL 60611","https://www.shorelinedentalchicago.com/","Yes","Website exists but: no online booking.","5","653","Chicago"
"Dental Smiles of West Loop - Chicago","(312) 724-7161","1202 W Madison St, Chicago, IL 60607","https://dentalsmilesofwestloop.com/location-dentist-chicago-il/","Yes","Website exists but: no chat/AI assistant.","4.9","354","Chicago"
"The Chicago Dental Studio, West Loop","(312) 414-0696","207 S Halsted St, Chicago, IL 60661","https://thechicagodentalstudio.com/chicago-west-loop/","Yes","Website exists but: not mobile-responsive, no online booking, no chat/AI assistant.","4.8","507","Chicago"
"Chicago Dental Boutique","(312) 868-0301","333 E Benton Pl #202, Chicago, IL 60601","https://www.chicagodentalboutique.com/?utm_campaign=gmb&utm_medium=local&utm_source=google","Yes","Website exists but: no chat/AI assistant.","4.9","531","Chicago"
"In The Loop Dental","(312) 609-1300","111 N Wabash Ave Ste 1107, Chicago, IL 60602","http://www.intheloopdentist.com/","Yes","Website exists but: no chat/AI assistant, no SSL.","4.9","258","Chicago"
"Chicago Style Smiles","(312) 372-4845","30 N Michigan Ave #1506, Chicago, IL 60602","https://chicagostylesmiles.com/","Yes","Website exists but: no online booking, no chat/AI assistant.","5","629","Chicago"
"Chicago Dental Dream Team","(773) 488-3738","820 E 87th St #201, Chicago, IL 60619","http://www.dentaldreamteam.com/","Yes","Website exists but: no online booking, no SSL.","4.9","732","Chicago"
"Chicago Dental 312","(312) 263-5090","25 E Washington St #1211, Chicago, IL 60602","http://www.chicagodental312.com/","Yes","Website exists but: no chat/AI assistant, no SSL.","5","530","Chicago"
"MG Dentistry","(312) 460-2418","111 N Wabash Ave Ste 1820, Chicago, IL 60602","https://www.mgdentistry.com/","Yes","Website exists but: no online booking.","4.9","322","Chicago"
"Downtown Dental River North","(773) 692-5447","676 N Michigan Ave #3500, Chicago, IL 60611","https://www.downtown-dental.com/locations/river-north/?utm_source=GMBlisting&utm_medium=organic","Yes","Website exists but: no chat/AI assistant.","4.5","611","Chicago"
"The Magnificent Smile","(312) 337-4424","444 N Michigan Ave Site 540, Chicago, IL 60611","https://www.themagnificentsmile.com/","Yes","Website exists but: no online booking, no chat/AI assistant.","4.9","403","Chicago"
"Mitchell Dental Spa","(312) 642-1014","845 N Michigan Ave Ste 922 E, Chicago, IL 60611","http://mitchelldentalspa.com/","Yes","Website exists but: no online booking, no chat/AI assistant, no SSL.","4.8","194","Chicago"
"Chicago Dental Solutions @ Chicago Dental Design","(312) 649-5980","845 N Michigan Ave #945w, Chicago, IL 60611","https://chicagodentalsolutions.com/?utm_source=organic&utm_medium=gbp&utm_id=local","Yes","Website exists but: no chat/AI assistant.","4.8","55","Chicago"
"Chicago Smile Design","(312) 664-2100","437 W North Ave, Chicago, IL 60610","https://www.chicagosmiledesign.com/?y_source=1_MjAxODg5ODA3Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","Yes","Website exists but: no online booking, no chat/AI assistant.","4.9","412","Chicago"
"Signature Smile Arts","(312) 654-1220","845 N Michigan Ave #955W, Chicago, IL 60611","https://magmile.signaturesmilearts.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=GMB","Yes","Website looks solid — pitch on speed/animations/AI receptionist instead.","4.9","268","Chicago"
"Chicago Loop Dentistry","(312) 598-2184","25 E Washington St Ste 1121, Chicago, IL 60602","https://chicagoloopdentistry.com/","Yes","Website looks solid — pitch on speed/animations/AI receptionist instead.","4.9","453","Chicago"
"The Chicago Dental Studio, River North","(312) 267-1917","443 W Huron St, Chicago, IL 60654","https://thechicagodentalstudio.com/chicago-river-north/","Yes","Website exists but: not mobile-responsive, no online booking, no chat/AI assistant.","4.9","754","Chicago"
"Arizona Biltmore Dentistry","(602) 737-3624","2777 E Camelback Rd suite 101, Phoenix, AZ 85016","https://www.arizonabiltmoredentistry.com/?utm_campaign=gmb","Yes","Website exists but: no online booking.","4.7","1352","Phoenix"
"Downtown Phoenix Dental","(602) 626-7952","111 W Monroe St Unit 131, Phoenix, AZ 85003","https://www.downtownphoenixdental.com/?utm_source=google&utm_medium=google_business_profile&utm_campaign=website_click","Yes (unreachable)","Website URL found but didn't load — good opening line.","4.9","553","Phoenix"
"Biltmore Dental Center","(602) 954-8200","4202 N 32nd St Ste b, Phoenix, AZ 85018","https://www.biltmoredentalcenter.com/?y_source=1_MjAxMjkzOTY4NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","Yes","Website looks solid — pitch on speed/animations/AI receptionist instead.","4.9","1282","Phoenix"
"Dental on Central","(602) 266-1776","5133 N Central Ave Ste 102, Phoenix, AZ 85012","https://www.dentaloncentral.com/","Yes","Website exists but: no online booking.","4.6","1531","Phoenix"
"Thomas Dental","(623) 455-6668","2546 E Thomas Rd, Phoenix, AZ 85016","https://thomasdentalphx.com/?utm_source=google.com&utm_medium=business+profile&utm_campaign=","Yes","Website looks solid — pitch on speed/animations/AI receptionist instead.","4.8","785","Phoenix"
"Downtown Smiles Phoenix Dental Care","(602) 566-9005","45 W Jefferson St Ste L, Phoenix, AZ 85003","http://downtownsmilesphx.com/","Yes","Website exists but: no online booking, no chat/AI assistant, no SSL.","5","338","Phoenix"
"AZ Family Dental - Phoenix","(602) 844-2431","1820 W Thunderbird Rd #1, Phoenix, AZ 85023","https://www.azfd.com/locations/phoenix/","Yes","Website exists but: no online booking, no chat/AI assistant.","4.8","221","Phoenix"
"Open Wide Dental","(602) 806-9999","6520 N 7th Ave Suite 1, Phoenix, AZ 85013","https://openwidedentalaz.com/?utm_source=GMBListing&utm_medium=Organic","Yes (unreachable)","Website URL found but didn't load — good opening line.","4.9","856","Phoenix"
"Anytime Dental","(602) 207-8528","10 W Adams St, Phoenix, AZ 85003","https://www.anytimedentalphx.com/?utm_campaign=gmb","Yes","Website exists but: no chat/AI assistant.","4.7","334","Phoenix"
"Healing Dentistry Dental clinic","(602) 362-8370","125 W McDowell Rd, Phoenix, AZ 85003","http://healingdentistry.com/","Yes","Website exists but: no SSL.","4.8","218","Phoenix"
"North Central Family Dentistry","(602) 242-2576","5225 N Central Ave #102, Phoenix, AZ 85012","https://www.ncfdentistry.com/","Yes","Website exists but: no online booking, no chat/AI assistant.","4.9","762","Phoenix"
"19th Ave Dental Care","(602) 433-0313","5225 N 19th Ave Ste c, Phoenix, AZ 85015","https://www.19avedentalcare.com/","Yes","Website exists but: no chat/AI assistant.","4.8","477","Phoenix"
"Dental Home Family Dentistry Phoenix","(602) 863-3000","720 E Thunderbird Rd #2, Phoenix, AZ 85022","https://www.dentalhomeaz.com/","Yes","Website looks solid — pitch on speed/animations/AI receptionist instead.","4.9","562","Phoenix"
"Southern Dental","(602) 305-8800","3320 W Southern Ave Ste 111, Phoenix, AZ 85041","https://www.laveendentist.com/","Yes","Website looks solid — pitch on speed/animations/AI receptionist instead.","4.6","519","Phoenix"
"Arizona Family Dentistry","(602) 902-0003","7625 W Lower Buckeye Rd #130, Phoenix, AZ 85043","https://azfamilysmiles.com/?utm_source=Gmb&utm_medium=organic&utm_campaign=listing","Yes (unreachable)","Website URL found but didn't load — good opening line.","4.8","407","Phoenix"
"Encanto Family Dental Care","(602) 666-9961","1525 W Thomas Rd, Phoenix, AZ 85015","https://www.encantofamilyaz.com/","Yes","Website exists but: no chat/AI assistant.","4.8","274","Phoenix"
"Central Dental","(480) 808-9494","5821 S Central Ave, Phoenix, AZ 85040","https://www.centraldentalaz.com/","Yes","Website looks solid — pitch on speed/animations/AI receptionist instead.","5","545","Phoenix"
"Central Valley Dentistry & Implants","(602) 246-0385","6232 N 7th St Unit 201, Phoenix, AZ 85014","https://www.centralvalleydentistry.com/?utm_campaign=gmb&utm_medium=organic&utm_source=gmb","Yes","Website exists but: no online booking, no chat/AI assistant.","4.9","1047","Phoenix"
"Smile Dental Clinics","(623) 257-7475","7102 W Thomas Rd, Phoenix, AZ 85033","https://www.smiledentalclinics.com/","Yes","Website exists but: no online booking.","4.7","1279","Phoenix"
"Gentle Hands Family Dentistry and Orthodontics","(602) 433-2992","6036 N 19th Ave Unit 210, Phoenix, AZ 85015","https://gentlehandsdentistry.com/?utm_source=googlemybusiness&utm_medium=organic","Yes","Website exists but: no online booking.","4.8","679","Phoenix"
"Dr. Sonny Aryan Emergency Dentist San Diego 24 Hours","(858) 878-2009","1916 Kettner Blvd #12, San Diego, CA 92101","https://www.emergencydentalservice.com/emergencydentist24-7/san-diego-ca-92101","Yes","Website exists but: no online booking.","5","7","San Diego"
"Fifth Avenue Dental Arts","(619) 233-3338","450 A St #300, San Diego, CA 92101","https://mydentistsandiego.com/?UTM_source=GMB_listing&UTM_medium=organic","Yes","Website exists but: no online booking, no chat/AI assistant.","4.8","935","San Diego"
"Downtown SD Modern Dentistry","(619) 850-2550","435 Fourth Ave, San Diego, CA 92101","https://www.downtownsdmoderndentistry.com/?sc_cid=GBP%3AO%3AGP%3A420%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MjY2MDk0MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","Yes","Website exists but: not mobile-responsive, no online booking, no chat/AI assistant.","4","301","San Diego"
"Mesa Dental","(858) 877-9540","6215 Beadnell Way, San Diego, CA 92117","https://mesadentalsd.com/","Yes","Website looks solid — pitch on speed/animations/AI receptionist instead.","4.9","1832","San Diego"
"San Diego Emergency Family Dentist Reza Kasiri","(619) 550-1111","2138 Garnet Ave, San Diego, CA 92109","https://24-7emergencydental.com/","Yes","Website exists but: no online booking, no chat/AI assistant.","4.4","114","San Diego"
"Marina District Dentistry","(619) 234-7222","230 W G St, San Diego, CA 92101","https://www.marinadistrictdentistry.com/?utm_campaign=gmb","Yes","Website looks solid — pitch on speed/animations/AI receptionist instead.","4.9","239","San Diego"
"Bella Vita Dental Hillcrest","(619) 789-1785","3900 Fifth Ave #270, San Diego, CA 92103","https://www.bellavitadental.com/?y_source=1_MjAxMjkzOTc2OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","Yes","Website looks solid — pitch on speed/animations/AI receptionist instead.","4.7","446","San Diego"
"Farshin Farokhian, DDS","(619) 202-5231","3500 Fifth Ave #201, San Diego, CA 92103","http://www.farokhiandds.com/","Yes","Website exists but: no chat/AI assistant, no SSL.","4.9","674","San Diego"
"Urban Dental","(619) 696-0510","1111 Sixth Ave #510, San Diego, CA 92101","http://www.urbandentalsandiego.com/","Yes","Website exists but: no chat/AI assistant, no SSL.","5","84","San Diego"
"Coastal Dental Arts","(619) 786-3635","1230 Columbia St Suite 870, San Diego, CA 92101","https://www.coastaldentalarts.com/?utm_source=google.com&utm_medium=business+profile","Yes","Website exists but: no chat/AI assistant.","4.8","346","San Diego"
"The Dental Docs","(619) 297-2949","3730 Third Ave, San Diego, CA 92103","http://www.thedentaldocs.com/","Yes","Website exists but: no online booking, no chat/AI assistant, no SSL.","4.7","54","San Diego"
"Singing Hills Dentistry San Diego","(858) 272-5588","1919 Grand Ave Ste 1P, San Diego, CA 92109","https://www.sandiegodentistnearme.com/?utm_source=google&utm_medium=google_business_profile&utm_campaign=website_click","Yes (unreachable)","Website URL found but didn't load — good opening line.","5","609","San Diego"
"San Diego Dental","(209) 393-3529","3765 Dalbergia St, San Diego, CA 92113","","No","No website found — strong opening: offer to build one.","4.6","11","San Diego"
"Carmel Valley Dental","(858) 755-3780","12750 Carmel Country Rd #206, San Diego, CA 92130","https://carmelvalleydental.com/","Yes","Website exists but: no chat/AI assistant.","4.9","439","San Diego"
"Complete Dental Health","(619) 295-2202","3808 Front St, San Diego, CA 92103","https://completedentalhealth.net/","Yes","Website exists but: no online booking, no chat/AI assistant.","4.9","62","San Diego"
"Padre Dental Group","(619) 688-1001","501 Washington St Ste 704, San Diego, CA 92103","http://www.padredental.com/","Yes","Website exists but: no online booking, no chat/AI assistant, no SSL.","4.7","55","San Diego"
"Mission Hills Dental Group","(619) 699-9008","718 W Washington St, San Diego, CA 92103","https://www.missionhillsdentalgroup.com/?sc_cid=GBP%3AO%3AGP%3A423%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MjM1OTEzNi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","Yes","Website exists but: not mobile-responsive, no online booking, no chat/AI assistant.","4.1","289","San Diego"
"San Diego Dental Studio","(858) 457-4100","6650 Flanders Dr Ste J, San Diego, CA 92121","http://www.sandiegodentalstudio.com/","Yes","Website exists but: not mobile-responsive, no online booking, no chat/AI assistant, no SSL.","5","560","San Diego"
"Stephens Dental","(619) 497-0122","3588 Fourth Ave #300, San Diego, CA 92103","https://www.stephensdental.com/","Yes (unreachable)","Website URL found but didn't load — good opening line.","4.7","38","San Diego"
"Dallas Dental Arts","(214) 999-0110","2100 Ross Ave Ste 960, Dallas, TX 75201","http://dallasdentalspa.com/","Yes (unreachable)","Website URL found but didn't load — good opening line.","4.9","410","Dallas"
"Midtown Family Dentistry","(469) 529-6016","13309 Montfort Dr, Dallas, TX 75240","https://www.midtowndentistrydallas.com/","Yes","Website exists but: no chat/AI assistant.","4.9","3609","Dallas"
"Dallas Cosmetic Dental","(214) 915-2086","8226 Douglas Ave Ste 753, Dallas, TX 75225","https://dallascosmeticdental.com/","Yes","Website exists but: not mobile-responsive, no online booking.","5","61","Dallas"
"OakHeights Dental","(214) 949-8954","831 S R L Thornton Fwy, Dallas, TX 75203","http://affordabledallasdentist.com/","Yes (unreachable)","Website URL found but didn't load — good opening line.","4.9","817","Dallas"
"The Dental Method - Dentist of Dallas","(214) 227-6775","5757 W Lovers Ln #109, Dallas, TX 75209","https://thedentalmethod.com/","Yes","Website exists but: no chat/AI assistant.","4.9","292","Dallas"
"Dallas Designer Smiles","(214) 363-7777","8222 Douglas Ave #810, Dallas, TX 75225","http://www.dallasdesignersmiles.com/","Yes","Website exists but: no online booking, no SSL.","4.9","216","Dallas"
"Turtle Creek Dental Associates","(214) 740-4953","3131 Turtle Creek Blvd #1000, Dallas, TX 75219","https://www.turtlecreekdental.com/","Yes","Website exists but: no chat/AI assistant.","4.9","915","Dallas"
"Royal Lane Dental Center - Best Dentist in Dallas | Clear Aligners and Veneers in Dallas","(469) 904-2080","8499 Greenville Ave #210, Dallas, TX 75231","https://www.royallanedental.com/","Yes","Website exists but: no chat/AI assistant.","4.9","374","Dallas"
"Oak Cliff Dental Center","(214) 948-3364","Oak Cliff Dental Center, 820 N Zang Blvd #110, Dallas, TX 75208","https://oakcliffdentalcenter.com/?utm_source=google&utm_medium=social&utm_campaign=Oak+Cliff+Dental+Center&utm_term=Dentist+Bishop+Arts","Yes","Website looks solid — pitch on speed/animations/AI receptionist instead.","4.8","511","Dallas"
"Atlantis Dental","(214) 941-9400","330 S Zang Blvd #100, Dallas, TX 75208","https://www.atlantisdentalcare.com/?utm_source=Google&utm_medium=Organic&utm_campaign=GMB","Yes","Website exists but: no online booking, no chat/AI assistant.","4.9","312","Dallas"
"East Quarter Dental","(469) 240-1154","2109 Commerce St Ste 100, Dallas, TX 75201","https://www.eastquarterdental.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp","Yes","Website exists but: not mobile-responsive, no online booking, no chat/AI assistant.","4.8","407","Dallas"
"Pro Dental Dallas Downtown","(214) 871-1022","325 North St. Paul Street Ste 1150, Dallas, TX 75201","https://prodentaldallas.com/locations/downtown/?utm_campaign=gmb","Yes","Website exists but: no online booking, no chat/AI assistant.","4.9","219","Dallas"
"Highland Park Dental","(214) 521-3730","6725 Hillcrest Ave Suite B&C, Dallas, TX 75205","https://www.hpdentist.com/","Yes","Website exists but: no chat/AI assistant.","4.9","595","Dallas"
"Jeffrey V. Jones, DDS","(469) 890-1643","712 N Washington Ave Ste 400, Dallas, TX 75246","https://www.perfectgrin.com/?utm_source=google.com&utm_medium=business+profile&utm_campaign=","Yes","Website exists but: no online booking, no chat/AI assistant.","4.8","362","Dallas"
"Luxe Dental","(214) 416-9931","4640 McKinney Ave #140, Dallas, TX 75205","https://luxedentaldallas.com/","Yes","Website exists but: no online booking.","4.8","61","Dallas"
"Vintage Dental Spa","(214) 520-0887","4245 N Central Expy #240, Dallas, TX 75205","https://vintagedentalspa.com/","Yes","Website exists but: not mobile-responsive, no online booking, no chat/AI assistant.","4.5","54","Dallas"
"Soleil Dental","(214) 304-2112","4807 Maple Ave #300, Dallas, TX 75219","https://www.mysoleildental.com/","Yes","Website exists but: no online booking.","4.8","313","Dallas"
"Dallas Laser Dentistry","(214) 256-4858","7557 Rambler Rd #1023, Dallas, TX 75231","http://www.dallascosmeticdentist.us/?utm_campaign=gmb","Yes","Website exists but: not mobile-responsive, no online booking, no chat/AI assistant, no SSL.","4.9","870","Dallas"
"Henderson Family Dental","(214) 823-2182","2011 N Henderson Ave, Dallas, TX 75206","https://www.hfdentist.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp","Yes","Website exists but: not mobile-responsive, no online booking, no chat/AI assistant.","4.8","700","Dallas"
"Dallas Dental Specialists","(214) 754-0111","1130 Beachview St #210, Dallas, TX 75218","http://www.dallasdentalspecialists.com/","Yes (unreachable)","Website URL found but didn't load — good opening line.","5","87","Dallas"
"Dentistry of San Francisco - General & Cosmetic Dentist Dr. Joseph, DDS","(415) 986-5323","500 Sutter St #600, San Francisco, CA 94102","https://www.dentistryofsanfrancisco.com/","Yes (unreachable)","Website URL found but didn't load — good opening line.","5","260","San Francisco"
"Mont Dental Aesthetics (Formerly Montgomery Street Dental)","(415) 358-1967","260 Stockton St 5th FL, San Francisco, CA 94108","https://www.montgomerystdental.com/?utm_source=Google&utm_medium=Local&utm_campaign&utm_content=GMB","Yes","Website exists but: not mobile-responsive, no online booking, no chat/AI assistant.","4.8","582","San Francisco"
"Folsom Street Dental","(415) 552-7874","1130 Folsom St, San Francisco, CA 94103","http://folsomstreetdental.com/","Yes","Website exists but: no online booking, no chat/AI assistant, no SSL.","4.9","1021","San Francisco"
"San Francisco Dental Wellness","(415) 781-1944","130 Sansome St, San Francisco, CA 94104","https://www.sanfranciscodentalwellness.com/?utm_source=gmb&utm_medium=organic","Yes","Website exists but: no chat/AI assistant.","4.5","183","San Francisco"
"Marina Tooth Fairy Dental","(415) 409-3368","2001 Union St #590, San Francisco, CA 94123","https://marinatoothfairy.com/?utm_source=gbp&utm_medium=organic&utm_campaign=Google+Business+Profile","Yes","Website exists but: no chat/AI assistant.","4.8","414","San Francisco"
"Financial District Dentistry","(415) 399-9999","220 Montgomery St #120, San Francisco, CA 94104","https://www.cosmeticdentistsf.com/","Yes","Website looks solid — pitch on speed/animations/AI receptionist instead.","4.8","209","San Francisco"
"San Francisco Dental Care","(415) 668-0526","4200 California St #210, San Francisco, CA 94118","https://www.sanfranciscodentalcare.com/","Yes","Website exists but: no online booking.","4.9","283","San Francisco"
"San Francisco Dentist Smile SF","(415) 922-2990","3012 Steiner St A, San Francisco, CA 94123","https://sanfranciscodentistsmilesf.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb","Yes","Website exists but: no online booking, no chat/AI assistant.","4.6","114","San Francisco"
"Pacific Heights Dental","(415) 921-2448","2383 California St, San Francisco, CA 94115","https://www.pacificheightsdental.com/?y_source=1_MjAxMjkzOTcyMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","Yes","Website looks solid — pitch on speed/animations/AI receptionist instead.","4.7","397","San Francisco"
"Mission Dental Group","(415) 849-9991","2460 Mission St #106, San Francisco, CA 94110","https://www.growneydental.com/locations/mission","Yes","Website exists but: no chat/AI assistant.","4.5","59","San Francisco"
"Skoulas DDS - The SF Cosmetic Dentist","(415) 757-0110","450 Sutter St #1616, San Francisco, CA 94108","http://www.skoulasdds.com/","Yes","Website exists but: no online booking, no chat/AI assistant, no SSL.","4.8","156","San Francisco"
"Young Dental SF Group","(415) 392-8611","490 Post St Ste 830, San Francisco, CA 94102","https://youngdentalsf.com/?utm_source=GBPYDEprompt","Yes","Website exists but: no chat/AI assistant.","4.8","904","San Francisco"
"MARINA GRINS DENTAL","(415) 921-4132","3210 Fillmore St #2, San Francisco, CA 94123","http://marinagrinsdental.com/","Yes (unreachable)","Website URL found but didn't load — good opening line.","4.9","701","San Francisco"
"Washington Square Park Dental","(415) 891-9773","1719 Powell St, San Francisco, CA 94133","http://www.wsparkdental.com/","Yes","Website exists but: no online booking, no chat/AI assistant, no SSL.","4.9","411","San Francisco"
"San Francisco Dental Office","(415) 777-5115","131 Steuart St #323, San Francisco, CA 94105","http://www.sanfrandental.com/","Yes (unreachable)","Website URL found but didn't load — good opening line.","4.8","93","San Francisco"
"Pacific Heights Dental Studio","(415) 409-6455","2252 Fillmore St Ste 201, San Francisco, CA 94115","https://pacificheightsdentalstudio.com/?utm_source=gmblisting&utm_medium=organic","Yes","Website exists but: no online booking, no chat/AI assistant.","4.9","367","San Francisco"
"The Dentist Group","(415) 706-7687","90 Gough St, San Francisco, CA 94102","http://www.thedentistgroup.com/","Yes","Website exists but: no SSL.","4.7","259","San Francisco"
"Zen Dental Studio - San Francisco","(415) 857-0150","254 5th St, San Francisco, CA 94103","https://www.zen.dentist/san-francisco","Yes","Website exists but: no chat/AI assistant.","4.9","329","San Francisco"
"SF Dental","(415) 566-3305","800 Santiago St Ste B, San Francisco, CA 94116","https://www.sfdental.com/","Yes","Website exists but: no chat/AI assistant.","4.9","300","San Francisco"
"Post Street Dental Group","(415) 986-4534","490 Post St STE 520, San Francisco, CA 94102","https://poststreetdental.com/?utm_source=GBPEprompt","Yes","Website exists but: no chat/AI assistant.","4.9","324","San Francisco"
"Dental Care Seattle","(206) 325-0166","600 Broadway #330, Seattle, WA 98122","http://www.dentalcareseattle.com/","Yes","Website exists but: no online booking, no chat/AI assistant, no SSL.","4.9","677","Seattle"
"Seattle Smiles Company","(206) 984-2404","600 Broadway #600, Seattle, WA 98122","https://seattlesmilescompany.com/","Yes","Website looks solid — pitch on speed/animations/AI receptionist instead.","4.9","60","Seattle"
"Pike Place Dental","(206) 625-1267","93 Pike St Unit 309, Seattle, WA 98101","http://pikeplacedental.com/","Yes","Website exists but: no online booking, no chat/AI assistant, no SSL.","4.9","231","Seattle"
"Downtown Seattle Dentists","(206) 447-9397","509 Olive Wy #1132, Seattle, WA 98101","https://downtownseattledentists.com/","Yes","Website exists but: no online booking.","4.8","281","Seattle"
"Seattle Cornerstone Dental","(206) 682-3093","600 University St #828, Seattle, WA 98101","https://seattlecornerstonedental.com/","Yes","Website exists but: no online booking, no chat/AI assistant.","4.9","167","Seattle"
"Lake Union Dentistry","(206) 328-3002","1500 Fairview Ave E #302, Seattle, WA 98102","http://www.lakeuniondentistry.com/","Yes","Website exists but: no online booking, no chat/AI assistant, no SSL.","5","61","Seattle"
